"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:41 MSK 2024","852","Авторизация","","","","","Повторное создание пользователя",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:43 MSK 2024","2666","Авторизация","","","","","Удаление книги",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:42 MSK 2024","2167","Авторизация","","","","","Обновление книги",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:43 MSK 2024","3399","Авторизация","","","","","Повтрорная авторизация пользолвателя после удаления",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:41 MSK 2024","1455","Авторизация","","","","","Авторизация пользователя",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:42 MSK 2024","1568","Авторизация","","","","","Получение информации о пользователе",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:41 MSK 2024","1243","Авторизация","","","","","Генерация токена",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:42 MSK 2024","2222","Авторизация","","","","","Получении информации о книге",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:43 MSK 2024","3032","Авторизация","","","","","Удаление пользователя",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:41 MSK 2024","641","Авторизация","","","","","Создание пользователя",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:42 MSK 2024","1728","Авторизация","","","","","Добавление книги в список пользователя",""
"passed","Wed Apr 10 20:13:40 MSK 2024","Wed Apr 10 20:13:40 MSK 2024","245","Авторизация","","","","","Создание пользователя с ошибкой, пароль не подходит",""
